"module name", "license", "repository", "version"
"@babel/plugin-syntax-optional-catch-binding", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding", 7.8.3
"@babel/plugin-syntax-numeric-separator", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-numeric-separator", 7.8.3
"@babel/plugin-syntax-optional-chaining", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining", 7.8.3
"@babel/plugin-syntax-top-level-await", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-top-level-await", 7.8.3
"@babel/plugin-syntax-typescript", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-typescript", 7.8.3
"@babel/plugin-transform-arrow-functions", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-arrow-functions", 7.8.3
"@babel/plugin-transform-async-to-generator", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator", 7.8.3
"@babel/plugin-transform-block-scoped-functions", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoped-functions", 7.8.3
"@babel/plugin-transform-block-scoping", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoping", 7.8.3
"@babel/plugin-transform-classes", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-classes", 7.9.5
"@babel/plugin-transform-destructuring", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-destructuring", 7.9.5
"@babel/plugin-transform-computed-properties", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-computed-properties", 7.8.3
"@babel/plugin-transform-dotall-regex", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-dotall-regex", 7.8.3
"@babel/plugin-transform-duplicate-keys", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-duplicate-keys", 7.8.3
"@babel/plugin-transform-exponentiation-operator", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-exponentiation-operator", 7.8.3
"@babel/plugin-transform-flow-strip-types", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-flow-strip-types", 7.9.0
"@babel/plugin-transform-function-name", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-function-name", 7.8.3
"@babel/plugin-transform-for-of", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-for-of", 7.9.0
"@babel/plugin-transform-literals", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-literals", 7.8.3
"@babel/plugin-transform-member-expression-literals", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-member-expression-literals", 7.8.3
"@babel/plugin-transform-modules-amd", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-amd", 7.9.0
"@babel/plugin-transform-modules-commonjs", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-commonjs", 7.9.0
"@babel/plugin-transform-modules-systemjs", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-systemjs", 7.9.0
"@babel/plugin-transform-modules-umd", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-umd", 7.9.0
"@babel/plugin-transform-named-capturing-groups-regex", "MIT", "https://github.com/babel/babel", 7.8.3
"@babel/plugin-transform-new-target", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-new-target", 7.8.3
"@babel/plugin-transform-object-super", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-super", 7.8.3
"@babel/plugin-transform-parameters", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-parameters", 7.9.5
"@babel/plugin-transform-property-literals", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-property-literals", 7.8.3
"@babel/plugin-transform-react-constant-elements", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-constant-elements", 7.9.0
"@babel/plugin-transform-react-display-name", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-display-name", 7.8.3
"@babel/plugin-transform-react-jsx-development", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-development", 7.9.0
"@babel/plugin-transform-react-jsx-self", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-self", 7.9.0
"@babel/plugin-transform-react-jsx-source", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-source", 7.9.0
"@babel/plugin-transform-react-jsx", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx", 7.9.4
"@babel/plugin-transform-regenerator", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator", 7.8.7
"@babel/plugin-transform-reserved-words", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-reserved-words", 7.8.3
"@babel/plugin-transform-runtime", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-runtime", 7.9.0
"@babel/plugin-transform-shorthand-properties", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-shorthand-properties", 7.8.3
